Cluster ID,confidence_score,,Id,ln,dob,gn,fn,canonical_,canonical_fn,canonical_gn,canonical_Id,canonical_dob,canonical_ln
91,,68,69,MELVIN JR,07/10/37,M,HAROLD,,,,,,
92,,69,70,MELVIN JR,07/10/37,M,HAROLD,,,,,,
93,,70,71,MELVIN JR,07/10/37,M,HAROLD,,,,,,
94,,71,72,MELVIN JR,07/10/37,M,HAROLD,,,,,,
95,,72,73,MELVIN JR,07/10/37,M,HAROLD,,,,,,
96,,73,74,MELVIN JR,07/10/37,M,HAROLD,,,,,,
97,,74,75,MELVIN JR,07/10/37,M,HAROLD,,,,,,
98,,75,76,CHAVAS JR,07/10/37,M,HAROLD,,,,,,
99,,76,77,CHAVAS JR,07/10/37,M,HAROLD,,,,,,
100,,77,78,CHAVAS JR,07/10/37,M,HAROLD,,,,,,
101,,78,79,CHAVAS JR,07/10/37,M,HAROLD,,,,,,
102,,79,80,MICHAELSON JR,07/10/37,M,HAROLD,,,,,,
103,,80,81,MICHAELSON JR,07/10/37,M,HAROLD,,,,,,
104,,81,82,SMITH JR,07/10/37,M,HAROLD,,,,,,
105,,82,83,CHAVAS JR,07/10/37,M,HAROLD,,,,,,
106,,83,84,CHAVAS JR,07/10/37,M,HAROLD,,,,,,
107,,84,85,FAGEN JR,07/10/37,M,HAROLD,,,,,,
108,,85,86,FAGEN JR,07/10/37,M,HAROLD,,,,,,
109,,86,87,FAGEN JR,07/10/37,M,GEORGE,,,,,,
110,,87,88,GRIFFIN JR,07/10/37,M,DARH,,,,,,
111,,88,89,GRIFFIN JR,10/07/37,M,DARL,,,,,,
112,,89,90,GRIFFIN JR,07/05/37,M,DARL,,,,,,
113,,90,91,GRIFFIN JR,07/05/37,M,CLIFFORD,,,,,,
114,,91,92,GRIFFIN JR,07/05/37,M,CLIFFORD,,,,,,
115,,92,93,GRIFFIN JR,07/05/37,M,CLIFFORD,,,,,,
116,,93,94,GRIFFIN JR,07/05/37,M,CLARENCE,,,,,,
117,,94,95,HANNA,24/11/34,M,ADDISON J,,,,,,
118,,95,96,HANNA,24/11/34,M,ADDISON JOHN,,,,,,
119,,96,97,HANNA,24/11/34,M,ADDISON,,,,,,
120,,97,98,HANNA,24/11/34,M,ADDISON,,,,,,
121,,98,99,HANNA,24/11/34,M,ADDISON,,,,,,
122,,99,100,GALETICH JR,15/10/32,M,ADDISON,,,,,,
123,,100,101,FUNARO JONES,06/12/37,F,HARRIET,,,,,,
124,,101,102,FUNARO J,06/12/37,F,HARRIET,,,,,,
125,,102,103,FUNARO,06/12/37,F,HARRIET,,,,,,
